ИФ,Возраст,Сумма кредита,Средний ежемесячный доход за последние 6 мес,Ежемес. Выплаты по кредиту,Срок кредита (мес.),Кредит одобрен?
Артур Носыхин,100,1000000,17750,409200,65,В кредите отказано
Владимир Механтьев,65,1000000,18000,410000,64,В кредите отказано
София Брудастова,70,1000000,18250,410800,64,В кредите отказано
София Тикмикова,75,1000000,18500,411600,66,В кредите отказано
Кира Базалиева,80,1000000,18750,412400,65,В кредите отказано
Валерий Саалимов,85,1000000,19000,413200,65,В кредите отказано
Владимир Рифлин,90,1000000,19250,414000,67,В кредите отказано
Степан Алексишев,95,1000000,19500,414800,66,В кредите отказано
Олег Бивзюков,100,1000000,19750,415600,66,В кредите отказано
Аркадий Филюшкин,65,1000000,20000,416400,68,В кредите отказано
Маргарита Бенева,70,1000000,20250,417200,67,В кредите отказано
Леонид Шукляков,75,1000000,20500,418000,67,В кредите отказано
Кристина Субботская,80,1000000,20750,418800,69,В кредите отказано
Алиса Санджиева,85,1000000,21000,419600,68,В кредите отказано
Алексей Тмайков,90,1000000,21250,420400,68,В кредите отказано
Светлана Хотякова,95,1000000,21500,421200,70,В кредите отказано
Алёна Казахова,100,1000000,21750,422000,69,В кредите отказано
Марина Пятернина,65,1000000,22000,422800,69,В кредите отказано
Евгения Клубова,70,1000000,22250,423600,71,В кредите отказано
Евгений Непорезов,75,1000000,22500,424400,70,В кредите отказано
Евгений Чегашков,80,1000000,22750,425200,70,В кредите отказано
Галина Уломова,85,1000000,23000,426000,72,В кредите отказано
Евгения Арафулина,90,1000000,23250,426800,71,В кредите отказано
Иван Герчин,95,1000000,23500,427600,71,В кредите отказано
Юлия Ялтонская,100,1000000,23750,428400,73,В кредите отказано
Лариса Сафиулеева,65,1000000,24000,429200,72,В кредите отказано
Анна Едамова,70,1000000,24250,430000,72,В кредите отказано
Леонид Задураев,75,1000000,24500,430800,74,В кредите отказано
Степан Рогачев,80,1000000,24750,431600,73,В кредите отказано
Алёна Паранская,85,1000000,25000,432400,73,В кредите отказано
Галина Пателеева,90,1000000,25250,433200,75,В кредите отказано
Кира Рублинская,95,1000000,25500,434000,74,В кредите отказано
Юлия Опопова,100,1000000,25750,434800,74,В кредите отказано
Оксана Энская,65,1000000,26000,435600,76,В кредите отказано
Денис Шопхоев,70,1000000,26250,436400,75,В кредите отказано
Владимир Харалапов,75,1000000,26500,437200,75,В кредите отказано
Николай Двиняшин,80,1000000,26750,438000,77,В кредите отказано
Валерий Немешаев,85,1000000,27000,438800,76,В кредите отказано
Мария Петренцева,90,1000000,27250,439600,76,В кредите отказано
Евгений Самолдин,95,1000000,27500,440400,78,В кредите отказано
Надежда Гузева,100,1000000,27750,441200,77,В кредите отказано
